title,split_title
个人向宋庆龄基金会等6家单位捐赠的个人所得税税前扣除规定是什么？,个人 宋庆龄基金会 家 单位 捐赠 个人所得税 税前 扣除
生产企业购进货物的供货纳税人有哪些情形的，该生产企业原适用增值税退（免）,生产 企业 购进 货物 供货 纳税人 情形 生产 企业 原 增值税 退 免
国家税务总局关于《中华人民共和国政府和泽西岛政府关于税收情报交换的协定》,国家税务总局 中华人民共和国政府 泽西岛 政府 税收 情报 交换 协定
非法购买增值税专用发票或者购买伪造的增值税专用发票应如何处罚？,非法 购买 增值税 专用发票 购买 伪造 增值税 专用发票 应 处罚
个人财产对外转移不需向税务机关申请税收证明的情况有哪些？,个人财产 对外 转移 需向 税务机关 申请 税收 证明 情况
铅锌矿石资源税适用税额标准是如何规定的？,铅锌矿 石 资源税 税额 标准
非居民企业间接转让中国财产，如何判定是否具有合理商业目的？,非 居民 企业 间接 转让 中国 财产 判定 商业 目的
铁路发展基金有什么企业所得税的税收优惠？,铁路 发展 基金 企业 所得税 税收 优惠
退税代理机构应如何办理离境退税申报？,退税 代理 机构 应 办理 离境 退税 申报
中标机电产品具体范围是什么？,中标 机电产品
什么是企业政策性搬迁？,企业 政策性 搬迁
国家税务总局关于《中华人民共和国政府和新加坡共和国政府关于对所得避免双重,国家税务总局 中华人民共和国政府 新加坡共和国 政府 所得 双重
被其他新技术所代替或已经超过法律保护期限，已经丧失使用价值和转让价值，尚,新 技术 超过 法律 保护 期限 丧失 价值 转让 价值 尚
其他所得的个人所得税税率是多少？,所得 个人所得税 税率
财产租赁所得的“次”是如何规定的？,财产 租赁 所得 次
个人所得税扣缴义务人在代扣税款时是否需要向纳税人出具相关凭证？,个人所得税 扣缴 义务人 代扣 税款 时 纳税人 出具 相关 凭证
棚户区改造项目中关于城镇土地使用税有何优惠政策？,棚户区 改造 项目 中 城镇 土地 使用税 有何 优惠政策
跨地区经营汇总纳税企业如何办理企业所得税优惠备案？,跨地区 经营 汇总 纳税 企业 办理 企业 所得税 优惠 备案
中华人民共和国环境保护税法,中华人民共和国 环境保护 税法
卷烟批发环节的消费税征收范围是怎么规定的？,卷烟 批发 环节 消费税 征收
连锁经营企业增值税纳税地点是如何规定的？,连锁 经营 企业 增值税 纳税 地点
国家税务总局关于使用印有本单位名称的增值税普通发票（卷票）有关问题的公告,国家税务总局 印有 单位名称 增值税 普通发票 卷票 公告
企业改制过程中涉及的印花税是如何规定的？,企业 改制 过程 中 涉及 印花税
国家税务总局关于增值税发票开具有关问题的公告,国家税务总局 增值税 发票 开具 公告
国家税务总局关于发布《涉税专业服务监管办法(试行)》的公告,国家税务总局 发布 涉税 专业 服务 监管 办法 试行 公告
有哪些情形的纳税人本年度不能评为A级？,情形 纳税人 本年度 评为 级
增值税普通发票(卷票)的内容有哪些？,增值税 普通发票 卷票 内容
《国家税务总局关于发布〈纳税信用管理办法(试行)〉的公告》(国家税务总局,国家税务总局 发布 纳税 信用 管理 办法 试行 公告 国家税务总局
纳税人提供植物养护服务按照什么税目缴纳增值税？,纳税人 提供 植物 养护 服务 税目 缴纳 增值税
北京市税务局转发财政部《关于印发〈中华人民共和国营业税暂行条例实施细则〉,北京市 税务局 转发 财政部 印发 中华人民共和国 营业税 暂行条例 实施细则
市财政局、北京海关、市国家税务局、市地方税务局转发财政部、海关总署、国家,市 财政局 北京海关 市 国家税务局 市 地方税务局 转发 财政部 海关总署 国家
北京市国家税务局转发《财政部 国家税务总局关于明确金融 房地产开发 教育,北京市 国家税务局 转发 财政部   国家税务总局 金融   房地产 开发   教育
卷烟的消费税税率是多少？,卷烟 消费税 税率
北京市国家税务局转发《财政部 海关总署 国家税务总局关于印发<动漫企业进,北京市 国家税务局 转发 财政部   海关总署   国家税务总局 印发 动漫 企业 进
北京市国家税务局转发《财政部 商务部 海关总署 国家税务总局关于来料加工,北京市 国家税务局 转发 财政部   商务部   海关总署   国家税务总局 来料加工
北京市财政局 北京市国家税务局转发财政部 国家税务总局关于影视等出口服务,北京市 财政局   北京市 国家税务局 转发 财政部   国家税务总局 影视 出口 服务
市财政局、市国家税务局、市地方税务局关于转发财政部、国家税务总局关于支持,市 财政局 市 国家税务局 市 地方税务局 转发 财政部 国家税务总局 支持
北京市财政局、北京市国家税务局、北京市地方税务局转发财政部、国家税务总局,北京市 财政局 北京市 国家税务局 北京市 地方税务局 转发 财政部 国家税务总局
北京市国家税务局转发《国家税务总局关于第九届中国（北京）园林博览会冠名定,北京市 国家税务局 转发 国家税务总局 第九届 中国 北京 园林 博览会 冠名
市财政局、北京海关、市国家税务局转发财政部、海关总署、国家税务总局关于运,市 财政局 北京海关 市 国家税务局 转发 财政部 海关总署 国家税务总局 运
市财政局、市国家税务局、市地方税务局转发财政部、国家税务总局关于2010,市 财政局 市 国家税务局 市 地方税务局 转发 财政部 国家税务总局 2010
北京市国家税务局转发国家税务总局关于生产企业出口外购视同自产应税消费品消,北京市 国家税务局 转发 国家税务总局 生产 企业 出口 外购 视同 产 应税 消费品 消
北京市财政局北京市国家税务局转发财政部国家税务总局关于光伏发电增值税政策,北京市 财政局 北京市 国家税务局 转发 财政部 国家税务总局 光伏 发电 增值税 政策
纳税人提供代理进口服务如何确定销售额？,纳税人 提供 代理 进口 服务 销售额
北京市国家税务局转发《财政部 国家税务总局关于铁路运输和邮政业营业税改征,北京市 国家税务局 转发 财政部   国家税务总局 铁路运输 邮政 业 营业税 改征
增值税普通发票(卷票)代码及号码的编制规则是什么？,增值税 普通发票 卷票 代码 号码 编制 规则
纳税人办理无偿赠与或受赠不动产免征增值税的手续，应提供什么资料？,纳税人 办理 无偿 赠与 受赠 不动产 免征 增值税 手续 应 提供 资料
市财政局、市国家税务局、市地方税务局转发财政部、国家税务总局关于支持和促,市 财政局 市 国家税务局 市 地方税务局 转发 财政部 国家税务总局 支持 促
提供餐饮服务的纳税人销售外卖食品如何征收增值税？,提供 餐饮 服务 纳税人 销售 外卖 食品 征收 增值税
保险公司开展共保业务时，如何开具增值税发票？,保险公司 共保 业务 时 开具 增值税 发票
2017年度北京国税、北京地税常用征期日历,2017 年度 北京 国税 北京 地税 常用 征期 日历
因地震灾害造成严重损失，缴纳确有困难的是否可以减免城镇土地使用税？,地震 灾害 严重损失 缴纳 确有 困难 减免 城镇 土地 使用税
企业的应纳税额如何计算？,企业 应纳税额 计算
非居民企业如何计算应纳税额？,非 居民 企业 计算 应纳税额
增值税普通发票(卷票)适用于哪些纳税人？,增值税 普通发票 卷票 纳税人
生产企业发生前期申报错误的，应如何处理？,生产 企业 发生 前期 申报 错误 应
企业所得税法对固定资产是如何界定的?,企业 所得税法 固定资产 界定
未设立会计账簿从事建筑安装业的单位和个人，如何确定应纳税所得额缴纳个人所,未 设立 会计 账簿 建筑安装 业 单位 个人 应 纳税 所得额 缴纳 个人
职工福利费支出在企业所得税税前扣除的标准是什么？,职工 福利费 支出 企业 所得税 税前 扣除 标准
土地增值税的应税收入如何确定？,土地 增值税 应税 收入
从事房地产开发的纳税人在计算土地增值税时有何特殊规定？,房地产 开发 纳税人 计算 土地 增值税 时有何
印花税票代售许可,印花税 票 代售 许可
转让旧房如何确定扣除项目金额？,转让 旧房 扣除 项目 金额
北京市财政局、工商行政管理局、经济委员会、商业委员会、国家税务局、地方税,北京市 财政局 工商行政管理局 经济委员会 商业 委员会 国家税务局 地方税
北京市财政局 北京市国家税务局 北京市地方税务局 北京市民政局转发财政部,北京市 财政局   北京市 国家税务局   北京市 地方税务局   北京市 民政局 转发 财政部
市财政局、市国家税务局、市地方税务局、市商务委员会、市科学技术委员会、市,市 财政局 市 国家税务局 市 地方税务局 市 商务 委员会 市 科学技术委员会 市
国家税务总局关于公布符合条件的销售熊猫普制金币纳税人名单（第七批）的公告,国家税务总局 公布 符合条件 销售 熊猫 普制 金币 纳税人 名单 第七批 公告
与转让房地产有关的税金如何扣除？,转让 房地产 税金 扣除
市财政局、市国家税务局、市地方税务局转发财政部、国家税务总局关于农村金融,市 财政局 市 国家税务局 市 地方税务局 转发 财政部 国家税务总局 农村金融
市财政局、市国家税务局、市地方税务局、中国人民银行营业管理部关于转发《财,市 财政局 市 国家税务局 市 地方税务局 中国人民银行 营业 管理部 转发 财
纳税人提供武装守护押运服务，应按照什么税目，缴纳增值税？,纳税人 提供 武装 守护 押运 服务 应 税目 缴纳 增值税
纳税人购入基金、信托、理财产品等各类资产管理产品持有至到期取得的收益是否,纳税人 购入 基金 信托 理财产品 各类 资产 管理 产品 持有 到期 收益
一般纳税人提供教育辅助服务，应按照什么税目，缴纳增值税？,纳税人 提供 教育 辅助 服务 应 税目 缴纳 增值税
转发财政部国家税务总局关于银行业金融机构存款保险保费企业所得税税前扣除有,转发 财政部 国家税务总局 银行业 金融机构 存款 保费 企业 所得税 税前 扣除
什么是走逃(失联)企业？,走 逃 失联 企业
金融商品持有期间（含到期）取得的非保本收益是否缴纳增值税？,金融 商品 持有 期间 含 到期 非 保本 收益 缴纳 增值税
纳税人2016年1-4月份转让金融商品出现的负差是否可以结转到5-12月,纳税人 2016 年 月份 转让 金融 商品 负差 结转 12 月
适用增值税征税政策的出口货物劳务包括哪些？,增值税 征税 政策 出口 货物 劳务 包括
北京市财政局 中国人民银行营业管理部 北京市国家税务局 北京市地方税务局,北京市 财政局   中国人民银行 营业 管理部   北京市 国家税务局   北京市 地方税务局
北京市财政局 北京市国家税务局 北京市地方税务局 中国人民银行营业管理部,北京市 财政局   北京市 国家税务局   北京市 地方税务局   中国人民银行 营业 管理部
北京市国家税务局、地方税务局、劳动和社会保障局转发国家税务总局、劳动和社,北京市 国家税务局 地方税务局 劳动 社会 保障局 转发 国家税务总局 劳动 社
个人取得的外币所得应按哪一日的外汇牌价折合人民币缴纳个人所得税？,个人 外币 所得 应 一日 外汇牌价 折合 人民币 缴纳 个人所得税
在企业所得税法中，作为免税收入的符合条件的非营利组织收入是如何界定的？,企业 所得税法 中 免税 收入 符合条件 非营利 组织 收入 界定
企事业单位承包经营、承租经营所得的纳税期限是如何确定的？,企事业 单位 承包经营 承租 经营 所得 纳税 期限
外籍人员、华侨、港、澳、台同胞拥有的房产如何缴纳房产税？,外籍 人员 华侨 港 澳 台 同胞 拥有 房产 缴纳 房产税
符合条件的环境保护、节能节水项目的范围是什么？,符合条件 环境保护 节能 节水 项目
特别纳税调整中所称相关资料具体指哪些？,特别 纳税 调整 中所称 相关 资料 指
企业申请资产损失应提供的确认证据包括哪些？,企业 申请 资产 损失 应 提供 确认 证据 包括
企业发生的研究开发费用是否包括委托境外机构完成的研究开发活动所发生的费用,企业 发生 研究 开发 费用 包括 委托 境外 机构 研究 开发 活动 发生 费用
财政部 国家税务总局关于调整黑龙江省煤炭资源税税额标准的通知,财政部   国家税务总局 调整 黑龙江省 煤炭 资源税 税额 标准 通知
符合条件的可作为长期待摊费用进行摊销的固定资产的大修理支出所得税上如何确,符合条件 长期 待摊费用 摊销 固定资产 大修理 支出 所得税 确
企业重组中股权支付和非股权支付的含义分别是什么？,企业 重组 中 股权 支付 非 股权 支付 含义
其他个人销售自已使用过的物品免征增值税,个人 销售 自已 物品 免征 增值税
国家税务总局关于核桃油适用税率问题的批复,国家税务总局 核桃油 税率 批复
国家税务总局关于由石油伴生气加工压缩成的石油液化气适用增值税税率的通知,国家税务总局 石油 伴生气 加工 压缩成 石油 液化气 增值税 税率 通知
境外旅客购物离境退税海南试点中，退税定点商店应当同时符合哪些条件？,境外 旅客 购物 离境 退税 海南 试点 中 退税 定点 商店 符合 条件
境外旅客购物离境退税海南试点中，退税定点商店认定时应当提交哪些资料？,境外 旅客 购物 离境 退税 海南 试点 中 退税 定点 商店 认定 时 提交 资料
国家税务总局关于干姜、姜黄增值税适用税率问题的公告,国家税务总局 干姜 姜黄 增值税 税率 公告
国家税务总局关于花椒油增值税适用税率问题的公告,国家税务总局 花椒油 增值税 税率 公告
国家税务总局关于中小学课本配套产品适用增值税税率的批复,国家税务总局 中小学 课本 配套 产品 增值税 税率 批复
财政部　国家税务总局关于调整音像制品和电子出版物进口环节增值税税率的通知,财政部 　 国家税务总局 调整 音像制品 电子 出版物 进口 环节 增值税 税率 通知
财政部 国家税务总局关于增值税几个税收政策问题的通知,财政部   国家税务总局 增值税 几个 税收政策 通知
国家税务总局关于杏仁油 葡萄籽油增值税适用税率问题的公告,国家税务总局 杏仁油   葡萄籽 油 增值税 税率 公告
国家税务总局关于部分产品增值税适用税率问题的公告,国家税务总局 产品 增值税 税率 公告
财政部　国家税务总局关于金属矿、非金属矿采选产品增值税税率的通知,财政部 　 国家税务总局 金属矿 非金属矿 采选 产品 增值税 税率 通知
国家税务总局关于动物尸体降解处理机蔬菜清洗机增值税适用税率问题的公告,国家税务总局 动物 尸体 降解 处理机 蔬菜 清洗机 增值税 税率 公告
国家税务总局关于农用挖掘机 养鸡设备系列养猪设备系列产品增值税适用税率问,国家税务总局 农用 挖掘机   养鸡 设备 系列 养猪 设备 系列产品 增值税 税率 问
国家税务总局关于动物骨粒适用增值税税率的公告,国家税务总局 动物 骨粒 增值税 税率 公告
财政部　国家税务总局关于明确生皮和生毛皮进口环节增值税税率的通知,财政部 　 国家税务总局 生皮 和生 毛皮 进口 环节 增值税 税率 通知
国家税务总局关于挂面适用增值税税率问题的通知,国家税务总局 挂面 增值税 税率 通知
财政部 海关总署 国家税务总局关于对化肥恢复征收增值税政策的通知,财政部   海关总署   国家税务总局 化肥 恢复 征收 增值税 政策 通知
国家税务总局关于茴油、毛椰子油适用增值税税率的批复,国家税务总局 茴油 毛 椰子油 增值税 税率 批复
境外旅客购物离境退税海南试点中，退税定点商店如何办理注销手续？,境外 旅客 购物 离境 退税 海南 试点 中 退税 定点 商店 办理 注销 手续
财政部 国家税务总局关于豆粕等粕类产品征免增值税政策的通知,财政部   国家税务总局 豆粕 粕 类产品 征免 增值税 政策 通知
国家税务总局关于部分液体乳增值税适用税率的公告,国家税务总局 液体 乳 增值税 税率 公告
国家税务总局关于饲用鱼油产品免征增值税的批复,国家税务总局 饲用 鱼油 产品 免征 增值税 批复
境外旅客购物离境退税海南试点中，境外旅客凭哪些资料，向设在离境机场隔离区,境外 旅客 购物 离境 退税 海南 试点 中 境外 旅客 资料 设在 离境 机场 隔离区
国家税务总局关于发布《研发机构采购国产设备增值税退税管理办法》的公告,国家税务总局 发布 研发 机构 采购 国产 设备 增值税 退税 管理 办法 公告
境外旅客购物离境退税海南试点中，退税代理机构向海南省国家税务局申请办理退,境外 旅客 购物 离境 退税 海南 试点 中 退税 代理 机构 海南省 国家税务局 申请 办理 退
研发费用加计扣除优惠政策中，允许加计扣除的直接从事研发活动的人员的费用中,研发 费用 加计 扣除 优惠政策 中 加计 扣除 研发 活动 人员 费用 中
国家税务总局关于发布《国家税务总局定点联系企业名册管理办法》的公告,国家税务总局 发布 国家税务总局 定点 企业 名册 管理 办法 公告
软件企业研发费用的计算口径是什么规定？,软件 企业 研发 费用 计算 口径
境外旅客购物离境退税海南试点中，退税代理机构发生变化的，如何办理变更手续,境外 旅客 购物 离境 退税 海南 试点 中 退税 代理 机构 发生变化 办理 变更 手续
境外旅客购物离境退税海南试点中，退税代理机构应当同时符合哪些条件？,境外 旅客 购物 离境 退税 海南 试点 中 退税 代理 机构 符合 条件
境外旅客购物离境退税海南试点中，退税代理机构为境外旅客办理购物离境退税时,境外 旅客 购物 离境 退税 海南 试点 中 退税 代理 机构 境外 旅客 办理 购物 离境 退税 时
境外旅客购物离境退税海南试点中，退税定点商店认定资料发生变化的，如何办理,境外 旅客 购物 离境 退税 海南 试点 中 退税 定点 商店 认定 资料 发生变化 办理
国家税务总局关于进一步做好增值税电子普通发票推行工作的指导意见,国家税务总局 进一步 做好 增值税 电子 普通发票 推行 工作 指导 意见
国家税务局关于印发《关于土地使用税若干具体问题的补充规定》的通知,国家税务局 印发 土地 使用税 若干 补充规定 通知
国家税务总局关于加强煤炭行业税收管理的通知,国家税务总局 煤炭行业 税收管理 通知
境外旅客购物离境退税海南试点中，退税定代理机构如何办理注销手续？,境外 旅客 购物 离境 退税 海南 试点 中 退税 代理 机构 办理 注销 手续
境外旅客购物离境退税海南试点中，退税代理机构申请资格认定，应提交哪些资料,境外 旅客 购物 离境 退税 海南 试点 中 退税 代理 机构 申请 资格 认定 应 提交 资料
企业采用简易办法对境外所得已纳税额计算抵免的，需要向税务机关提供什么资料,企业 采用 简易 办法 境外 所得 纳税 额 计算 抵免 税务机关 提供 资料
境外旅客在退税定点商店购买退税物品，如何索取境外旅客购物离境退税申请单？,境外 旅客 退税 定点 商店 购买 退税 物品 索取 境外 旅客 购物 离境 退税 申请单
哪些情形下退税定点商店不得开具境外旅客购物离境退税申请单？,情形 退税 定点 商店 开具 境外 旅客 购物 离境 退税 申请单
财政部 国家税务总局关于石油天然气生产企业城镇土地使用税政策的通知,财政部   国家税务总局 石油 天然气 生产 企业 城镇 土地 使用税 政策 通知
职工个人以股份形式取得的拥有所有权的企业量化资产，是否征收个人所得税？,职工 个人 股份 形式 拥有 所有权 企业 量化 资产 征收 个人所得税
个人转让家庭生活用房，取得的所得是否免征个人所得税？,个人 转让 家庭 生活 用房 所得 免征 个人所得税
国产车辆缴纳车辆购置税需要携带哪些资料？,国产 车辆 缴纳 车辆 购置税 携带 资料
购买已征车辆购置税的车辆，是否还需要征收车辆购置税？,购买 征 车辆 购置税 车辆 征收 车辆 购置税
国家税务总局关于居民企业报告境外投资和所得信息有关问题的公告,国家税务总局 居民 企业 报告 境外 投资 所得 信息 公告
国家税务总局关于开展鉴证咨询业增值税小规模纳税人自开增值税专用发票试点工,国家税务总局 鉴证 咨询业 增值税 小规模 纳税人 自开 增值税 专用发票 试点 工
财政部 科技部 民政部 海关总署 国家税务总局关于科技类民办非企业单位适,财政部   科技部   民政部   海关总署   国家税务总局 科技类 民办非 企业 单位 适
承租人以修理费抵租金的征税规定？,承租人 修理费 抵 租金 征税
车船因质量问题发生退货时能否申请退还已缴的车船税？,车船 质量 发生 退货 时 申请 退还 已缴 车船税
对纳入营业税改征增值税试点的单位和个人，如何办理文化事业建设费缴费登记事,纳入 营业税 改征 增值税 试点 单位 个人 办理 文化 事业 建设费 缴费 登记 事
国家税务总局关于做好居民企业报告境外投资和所得信息工作的通知,国家税务总局 做好 居民 企业 报告 境外 投资 所得 信息 工作 通知
纳税人购置1.6升及以下排量乘用车车辆购置税有何优惠？,纳税人 购置 1.6 升及 排量 乘用车 车辆 购置税 有何 优惠
保险保障基金公司的哪些应税凭证免征印花税？,保障 基金 公司 应税 凭证 免征 印花税
对节约能源、使用新能源的车船是否有车船税税收优惠？,节约能源 新能源 车船 车船税 税收 优惠
《中华人民共和国车船税法》什么时候施行？《中华人民共和国车船税暂行条例》,中华人民共和国 车船税 法 施行 中华人民共和国 车船税 暂行条例
扣缴义务人代收代缴车船税后，主管税务机关是否还要征收车船税？,扣缴 义务人 代收 代缴 车船税 主管 税务机关 征收 车船税
公共租赁住房建设用地是否有城镇土地使用税的优惠？,公共 租赁 住房 建设 用地 城镇 土地 使用税 优惠
国家机关、事业单位、人民团体、军事单位承受土地房屋用于办公、教学、医疗、,国家机关 事业单位 人民团体 军事 单位 承受 土地 房屋 用于 办公 教学 医疗
车辆购置税完税证明何时发放？,车辆 购置税 完税 证明 发放
2015年印花税票如何包装的，规格是什么？,2015 年 印花税 票 包装 规格
出口企业和其他单位生产并销售给国内和国外航空公司国际航班的航空食品申报退,出口 企业 单位 生产 销售 国内 国外 航空公司 国际航班 航空 食品 申报 退
耕地占用税的征税范围是什么？,耕地 占用 税 征税
临时占用耕地是否缴纳耕地占用税？,临时 占用 耕地 缴纳 耕地 占用 税
哪些占用土地行为不征收耕地占用税？,占用 土地 征收 耕地 占用 税
口岸进境免税政策适用的对象？,口岸 进境 免税 政策 对象
在口岸进境免税店购物免税流程？,口岸 进境 免税店 购物 免税 流程
如果海关调整商品代码导致出口货物报关单上的商品代码与调整后的的商品代码不,海关 调整 商品 代码 导致 出口 货物 报关单 商品 代码 调整 商品 代码
出口企业和其他单位向海关报关运入海关监管仓库供海关隔离区内免税店销售的货,出口 企业 单位 海关 报关 运入 海关监管 仓库 供 海关 隔离区 免税店 销售 货
什么是口岸进境免税店？,口岸 进境 免税店
口岸进境免税商品的限购数量？,口岸 进境 免税 商品 限购 数量
口岸进境免税店购物免税限额？,口岸 进境 免税店 购物 免税 限额
口岸进境免税都免哪些税？,口岸 进境 免税 免 税
税务机关受理企业出口退（免）税预申报后，如果审核发现申报退（免）税的凭证,税务机关 受理 企业 出口 退 免 税预 申报 审核 发现 申报 退 免 税 凭证
以人民币结算准予退（免）税的出口货物有哪些？,人民币 结算 准予 退 免 税 出口 货物
从事进料加工业务的生产企业，应如何进行年度进料加工业务的核销？,进料加工 业务 生产 企业 应 年度 进料加工 业务 核销
国家税务总局关于印发部分国家（地区）税收居民证明样式的通知,国家税务总局 印发 国家 地区 税收 居民 证明 样式 通知
出口企业2014年1月1日前已出口的货物，其购进货物的供货纳税人存在令其,出口 企业 2014 年 月 日前 出口 货物 购进 货物 供货 纳税人 令其
公共租赁住房经营管理单位由哪些房产税优惠？,公共 租赁 住房 经营 管理 单位 房产税 优惠
何种情况下，企业未结清出口退（免）税款可以办理出口企业退（免）税资格认定,何种 情况 企业 未 结清 出口 退 免 税款 办理 出口 企业 退 免 税 资格 认定
出口商骗取国家出口退税款的，税务机关应如何处理？,出口商 骗取 国家 出口 退税款 税务机关 应
个人转让股权，核定股权转让收入的方法有哪些？,个人 转让 股权 核定 股权 转让 收入 方法
个人转让股权包括哪些情形？,个人 转让 股权 包括 情形
困难企业能否申请房产税减免？,困难 企业 申请 房产税 减免
在计征房产税时，为取得土地使用权所支付的价款是否计入房产原值？,计征 房产税 时 土地 使用权 支付 价款 计入 房产 原值
公益性社会团体的税前扣除资格应当如何确认？,公益性 社会 团体 税前 扣除 资格 确认
保险企业因执行财政部企业会计规定计提的准备金与之前执行中国保险业监督管理,企业 执行 财政部 企业会计 计提 准备金 执行 中国 保险业 监督管理
营业税改征增值税试点中的非居民企业，取得《中华人民共和国企业所得税法》第,营业税 改征 增值税 试点 中 非 居民 企业 中华人民共和国 企业 所得税法
哪些股权转让收入明显偏低的情形，视为有正当理由？,股权 转让 收入 偏低 情形 视为 正当理由
实际管理机构的含义？,管理机构 含义
非居民企业转让非境内注册居民企业股权所得的来源地如何确定？被转让的非境内,非 居民 企业 转让 非 境内 注册 居民 企业 股权 所得 来源 转让 非 境内
投资者从证券投资基金获得的股息、红利、利息收入，个人所得税应由谁代扣代缴,投资者 证券 投资 基金 股息 红利 利息收入 个人所得税 应由 代扣代缴
内地企业投资者通过沪港通投资香港联交所上市股票的转让差价是否需要缴纳企业,内地 企业 投资者 沪 港通 投资 香港联交所 上市 股票 转让 差价 缴纳 企业
主管税务机关在非境内注册居民企业身份认定后，是否应定期对其构成居民身份条,主管 税务机关 非 境内 注册 居民 企业 身份 认定 应 定期 居民 身份 条
境外中资企业依据实际管理机构判定为中国居民企业的的判定标准？,境外 中资企业 管理机构 判定 中国 居民 企业 判定 标准
境外中资企业如果被判定为非境内注册居民企业，是否将其视为受控外国企业？,境外 中资企业 判定 非 境内 注册 居民 企业 视为 受控 外国 企业
非境内注册居民企业是否需要履行关联申报及同期资料准备等义务？,非 境内 注册 居民 企业 履行 关联 申报 同期 资料 义务
非境内注册居民企业办理临时税务登记的时限和携带资料是如何规定的，税务机关,非 境内 注册 居民 企业 办理 临时 税务 登记 时限 携带 资料 税务机关
非境内注册居民企业是指哪些企业，其企业所得税的纳税义务是如何规定的？,非 境内 注册 居民 企业 指 企业 企业 所得税 纳税 义务
所得税上对企业转让上市公司限售股的纳税义务人是如何规定的？,所得税 企业 转让 上市公司 限售 股 纳税 义务人
非境内注册居民企业实际管理机构或股权发生重大变化的，是否需要向主管税务机,非 境内 注册 居民 企业 管理机构 股权 发生 变化 主管 税务 机
营业代理人在什么情况下视为非居民企业在中国境内设立的机构、场所？,营业 代理人 情况 视为 非 居民 企业 中国 境内 设立 机构 场所
非境内注册居民企业使用发票有何规定？,非 境内 注册 居民 企业 发票 有何
非境内注册居民企业在中国境内投资设立的企业，是否属于外商投资企业？,非 境内 注册 居民 企业 中国 境内 投资 设立 企业 外商投资 企业
非境内注册居民企业应按何种方式缴纳企业所得税？,非 境内 注册 居民 企业 应 何种 方式 缴纳 企业 所得税
发生税法规定扣缴义务的非境内注册居民企业，应何时办理扣缴登记？,发生 税法 扣缴 义务 非 境内 注册 居民 企业 应 办理 扣缴 登记
什么是非居民企业在中国境内设立的机构、场所？,是非 居民 企业 中国 境内 设立 机构 场所
非境内注册居民企业未依法履行纳税义务的，应如何追究其法律责任？,非 境内 注册 居民 企业 未 依法 履行 纳税 义务 应 追究其 法律责任
非境内注册居民企业在财务会计报表的编制和文字上有何要求，相关财务会计制度,非 境内 注册 居民 企业 财务 会计报表 编制 文字 有何 相关 财务会计 制度
非境内注册居民企业从中国境内其他居民企业取得的股息、红利等权益性投资收益,非 境内 注册 居民 企业 中国 境内 居民 企业 股息 红利 权益 性 投资收益
非境内注册居民企业计算缴纳企业所得税应以何种货币单位计量？,非 境内 注册 居民 企业 计算 缴纳 企业 所得税 应 何种 货币 单位 计量
境外注册中资控股居民企业的主管税务机关应如何确定？,境外 注册 中资 控股 居民 企业 主管 税务机关 应
非境内注册居民企业发生终止生产经营或者居民身份变化情形，及办理注销前，在,非 境内 注册 居民 企业 发生 终止 生产 经营 居民 身份 变化 情形 办理 注销 前
境外中资企业向税务机关提出居民企业认定申请时需要报送哪些资料？,境外 中资企业 税务机关 提出 居民 企业 认定 申请 时 报送 资料
境外中资企业是如何界定的？,境外 中资企业 界定
非境内注册居民企业经税务总局确认终止居民身份的，办理注销税务登记的时限是,非 境内 注册 居民 企业 税务总局 确认 终止 居民 身份 办理 注销 税务 登记 时限
发生税法规定扣缴义务的非境内注册居民企业，账簿凭证管理上有何规定？,发生 税法 扣缴 义务 非 境内 注册 居民 企业 账簿 凭证 管理 有何
对商店、门市部的零星加工修理业务开具的修理单是否贴花？,商店 门市部 零星 加工 修理 业务 开具 修理 贴花
哪些固定资产不得计提折旧在企业所得税前扣除？,固定资产 计提 折旧 企业 所得税 前 扣除
企业所得税法所指的居民企业是什么？,企业 所得税法 所指 居民 企业
境外中资企业符合条件但未向税务机关提出居民企业认定申请的，税务机关可否根,境外 中资企业 符合条件 未 税务机关 提出 居民 企业 认定 申请 税务机关 可否 根
油气田企业向外省、自治区、直辖市其他油气田企业提供生产性劳务，设立分公司,油气田 企业 外省 自治区 直辖市 油气田 企业 提供 生产性 劳务 设立 分公司
《增值税一般纳税人资格认定管理办法》中“申报期”是如何规定的？,增值税 纳税人 资格 认定 管理 办法 中 申报 期
旅店业和饮食业纳税人销售非现场消费食品应如何缴纳增值税？,旅店 业 饮食业 纳税人 销售 非 现场 消费 食品 应 缴纳 增值税
企业对房地产开发产品进行日常维护、保养、修理等实际发生的维修费用，能否在,企业 房地产 开发 产品 日常 维护 保养 修理 发生 维修 费用
增值税纳税人年应税销售额，是否包括兼营的非增值税应税销售额？,增值税 纳税人 年 应税 销售额 包括 兼营 非 增值税 应税 销售额
钻石交易所会员单位一般纳税人资格认定有何规定？,钻石 交易所 会员单位 纳税人 资格 认定 有何
加油站必须认定一般纳税人吗？,加油站 认定 纳税人
辅导期一般纳税人的增值税专用发票每次领购份数是多少？,辅导 期 纳税人 增值税 专用发票 每次 领购 份数
纳税人符合认定或登记为一般纳税人前进项税额可以抵扣的规定，若其取得增值税,纳税人 符合 认定 登记 纳税人 前 进项税额 抵扣 增值税
享受免征增值税的国有粮食购销企业必须认定一般纳税人吗？,享受 免征 增值税 国有 粮食 购销 企业 认定 纳税人
